task	arm
OpenElectricKettleLid	native
OpenElectricKettleLid	native_plus_ours
OpenElectricKettleLid	ours
OpenFridgeDrawer	native
OpenFridgeDrawer	native_plus_ours
OpenFridgeDrawer	ours
OpenStandMixerHead	native
OpenStandMixerHead	native_plus_ours
OpenStandMixerHead	ours
OpenToasterOvenDoor	native
OpenToasterOvenDoor	native_plus_ours
OpenToasterOvenDoor	ours
SlideDishwasherRack	native
SlideDishwasherRack	native_plus_ours
SlideDishwasherRack	ours
SlideOvenRack	native
SlideOvenRack	native_plus_ours
SlideOvenRack	ours
TurnOnStove	native
TurnOnStove	native_plus_ours
TurnOnStove	ours
TurnSinkSpout	native
TurnSinkSpout	native_plus_ours
TurnSinkSpout	ours
